LOCALIDAD,NOMBRE ORGANIZACIÓN,COMERCIALIZACIÓN,CUENTA CON BODEGA,PLANILLAJE UAESP
KENNEDY,ASOCIACION DE CARRETEROS DE BOGOTA (ACB),X,X,X
KENNEDY,Asociación de recicladores - RECICLAR ES VIDA ASEO VIDA ESP,X,X,X
KENNEDY,ASOCIACION DE RECICLADORES Y CARRETEROS (RECICLEMOS TODOS),X,X,X
KENNEDY,ASOCIACION DE RECICLADORES Y PROCESADORES ESP - PROCESANDO ESP,X,X,X
KENNEDY,ASOCIACION DE RECICLAJE COLOMBIA AMBIENTAL - ARCA,X,X,X
KENNEDY,CORPORACION COLOMBIANA DE RECICLAJE - CORPORECICLAJE E.S.P -,X,X,""
MARTIRES,COOPERATIVA DE TRABAJO ASOCIADO DE RECICLADORES Y RECUPERADORES AMBIENTALES NUEVO AMBIENTE - COOPNAGBO,"","",""
MARTIRES,ARUPAF,X,X,X
MARTIRES,ASOCIACION DE RECICLADORES AMBIENTALES -JAG-,X,X,""
MARTIRES,ASOCIACION DE RECICLADORES NUEVA GENERACION DE BOSA -ARNUGEBO,X,X,""
MARTIRES,CORPOAMBIENTAL RECICLANDO,X,X,""
PUENTE ARANDA,Asociación Camilo Torres,"","",""
PUENTE ARANDA,ASOCIACION DE RECICLADORES DE PUENTE ARANDA LA COLOMBIANITA - ASOCOLOMBIANITA,"","",""
PUENTE ARANDA,ASOPAREIN,"","",X
PUENTE ARANDA,CORPOARANDA,"","",X
PUENTE ARANDA,GAIAREC - Asociación Colombiana de Recicladores,"","",""
PUENTE ARANDA,Organización 3 R,"","",X
PUENTE ARANDA,ARPA- ASOCIACION DE RECICLADORES DE PUENTE ARANDA,"",X,X
PUENTE ARANDA,ASOCIACION ECO RESIDUOS,X,"",""
PUENTE ARANDA,ACB - ASOCIACION DE CARRETEROS RECICLADORES DE BOGOTA,X,X,X
PUENTE ARANDA,ASOCIACION ECO ALIANZA ESTRATEGICA DE RECICLADORES -ECOALIANZA-,X,X,""
RAFAEL URIBE URIBE,LAS 3R 59,X,"",""
RAFAEL URIBE URIBE,ASOCIACIÓN DE RECICLADORES URIBE URIBE FORMANDO COMUNIDAD,X,X,X
RAFAEL URIBE URIBE,ASOCIACION DE RECUPERADORES AMBIENTALES SIN INDIFERENCIA - ARASID,X,X,X
RAFAEL URIBE URIBE,ASOREAMB - ASOCIACIÓN DE RECUPERADORES AMBIENTALES,X,X,X
RAFAEL URIBE URIBE,CORPORACIÓN CREAR,X,X,X
RAFAEL URIBE URIBE,MUNDO NUEVO,X,X,""
RAFAEL URIBE URIBE,RECICLADORA PZR,X,X,""
RAFAEL URIBE URIBE,RECICLAJE NUEVO MUNDO,X,X,""
SAN CRISTOBAL,ASOCIACION DE RECICLADORES CRECER SIN FRONTERAS - ARCRECIFRONT,X,X,X
SAN CRISTOBAL,PEDRO LEON TRABUCHI,X,X,X
SANTA FE,CORPORACION DE RECICLADORES CENTRO HISTORICO - CEHNIS,"","",X
SANTA FE,Asociacion de Recicladores Bogota,"",X,""
SUBA,ASOCIACION DE RECICLADORES DE SUBA -ARS-,"","",""
SUBA,ASOCIACION ORA AMBIENTAL ACTIVA DE RECICLADORES DE BOGOTA,"","",""
SUBA,ASOREPAN,"","",""
